BVMF:COGN3,,,
Data,Fechamento,Abertura,
3/1/2017,13.65,13.67,COGN3
3/2/2017,13.67,13.71,COGN3
3/3/2017,13.6,13.79,COGN3
3/6/2017,13.4,13.6,COGN3
3/7/2017,13.48,13.54,COGN3
3/8/2017,13.25,13.61,COGN3
3/9/2017,12.95,13.29,COGN3
3/10/2017,13.4,13.02,COGN3
3/13/2017,13.35,13.41,COGN3
3/14/2017,13.19,13.26,COGN3
3/15/2017,13.85,13.21,COGN3
3/16/2017,13.91,13.79,COGN3
3/17/2017,13.4,13.63,COGN3
3/20/2017,13.65,13.35,COGN3
3/21/2017,13.19,13.58,COGN3
3/22/2017,12.95,13.19,COGN3
3/23/2017,12.82,12.84,COGN3
3/24/2017,12.93,12.82,COGN3
3/27/2017,12.9,12.94,COGN3
3/28/2017,13.2,12.89,COGN3
3/29/2017,13.22,13.26,COGN3
3/30/2017,13.2,13.3,COGN3
3/31/2017,13.28,13.07,COGN3
4/3/2017,13.27,13.24,COGN3
4/4/2017,13.2,13.2,COGN3
4/5/2017,13.3,13.34,COGN3
4/6/2017,13.73,13.33,COGN3
4/7/2017,13.61,13.8,COGN3
4/10/2017,13.78,13.62,COGN3
4/11/2017,13.66,13.68,COGN3
4/12/2017,13.75,13.65,COGN3
4/13/2017,13.53,13.6,COGN3
4/17/2017,14.06,13.56,COGN3
4/18/2017,14.15,13.93,COGN3
4/19/2017,14.03,14.22,COGN3
4/20/2017,14.25,14.05,COGN3
4/24/2017,14.32,14.38,COGN3
4/25/2017,14.7,14.39,COGN3
4/26/2017,14.82,14.76,COGN3
4/27/2017,14.77,14.78,COGN3
4/28/2017,14.95,14.65,COGN3
5/2/2017,15.31,14.8,COGN3
5/3/2017,15.49,15.25,COGN3
5/4/2017,15.3,15.25,COGN3
5/5/2017,15.48,15.29,COGN3
5/8/2017,15.25,15.45,COGN3
5/9/2017,15.49,15.41,COGN3
5/10/2017,15.94,15.58,COGN3
5/11/2017,15.7,15.89,COGN3
5/12/2017,15.78,15.8,COGN3
5/15/2017,15.72,15.86,COGN3
5/16/2017,15.92,15.79,COGN3
5/17/2017,15.9,15.8,COGN3
5/18/2017,14.59,13.52,COGN3
5/19/2017,14.85,14.32,COGN3
5/22/2017,14.72,14.56,COGN3
5/23/2017,14.81,14.72,COGN3
5/24/2017,14.91,15.03,COGN3
5/25/2017,14.87,14.92,COGN3
5/26/2017,15,14.9,COGN3
5/29/2017,14.82,14.81,COGN3
5/30/2017,14.78,14.5,COGN3
5/31/2017,14.5,14.7,COGN3
6/1/2017,14.35,14.5,COGN3
6/2/2017,14.1,14.43,COGN3
6/5/2017,13.65,13.99,COGN3
6/6/2017,13.98,13.7,COGN3
6/7/2017,14.49,14,COGN3
6/8/2017,14.31,14.43,COGN3
6/9/2017,14.41,14.35,COGN3
6/12/2017,14.39,14.49,COGN3
6/13/2017,14.22,14.49,COGN3
6/14/2017,14.33,14.36,COGN3
6/16/2017,14.25,14.25,COGN3
6/19/2017,14.41,14.3,COGN3
6/20/2017,13.85,14.36,COGN3
6/21/2017,13.36,13.85,COGN3
6/22/2017,13.67,13.47,COGN3
6/23/2017,14.03,13.75,COGN3
6/26/2017,13.83,14.09,COGN3
6/27/2017,13.4,13.81,COGN3
6/28/2017,14.16,13.15,COGN3
6/29/2017,14.5,14.06,COGN3
6/30/2017,14.87,14.49,COGN3
7/3/2017,14.94,15,COGN3
7/4/2017,15,14.88,COGN3
7/5/2017,15,14.97,COGN3
7/6/2017,14.75,14.96,COGN3
7/7/2017,14.75,14.79,COGN3
7/10/2017,14.93,14.88,COGN3
7/11/2017,14.88,14.87,COGN3
7/12/2017,15.02,14.82,COGN3
7/13/2017,15.25,15.03,COGN3
7/14/2017,15.5,15.33,COGN3
7/17/2017,15.35,15.5,COGN3
7/18/2017,15.39,15.29,COGN3
7/19/2017,15.4,15.37,COGN3
7/20/2017,15.46,15.41,COGN3
7/21/2017,15.43,15.56,COGN3
7/24/2017,15.36,15.5,COGN3
7/25/2017,15.3,15.4,COGN3
7/26/2017,15.2,15.35,COGN3
7/27/2017,15.15,15.2,COGN3
7/28/2017,14.98,15.2,COGN3
7/31/2017,15.08,15.09,COGN3
8/1/2017,15.13,15.16,COGN3
8/2/2017,15.1,15.12,COGN3
8/3/2017,14.75,15.05,COGN3
8/4/2017,14.74,14.75,COGN3
8/7/2017,14.97,14.71,COGN3
8/8/2017,14.97,14.97,COGN3
8/9/2017,14.97,14.86,COGN3
8/10/2017,15.2,14.95,COGN3
8/11/2017,16.01,15.37,COGN3
8/14/2017,16.63,15.93,COGN3
8/15/2017,17.18,16.6,COGN3
8/16/2017,17.72,17.35,COGN3
8/17/2017,17.93,17.6,COGN3
8/18/2017,17.5,17.85,COGN3
8/21/2017,17.58,17.55,COGN3
8/22/2017,17.88,17.83,COGN3
8/23/2017,17.9,17.88,COGN3
8/24/2017,18.23,17.94,COGN3
8/25/2017,17.9,18.32,COGN3
8/28/2017,17.5,17.75,COGN3
8/29/2017,17.41,17.5,COGN3
8/30/2017,17.75,17.32,COGN3
8/31/2017,17.97,18,COGN3
9/1/2017,17.97,18.02,COGN3
9/4/2017,17.88,17.79,COGN3
9/5/2017,17.8,17.95,COGN3
9/6/2017,18.16,17.98,COGN3
9/8/2017,18.18,18.3,COGN3
9/11/2017,18.13,18.35,COGN3
9/12/2017,18.41,18.2,COGN3
9/13/2017,19,18.61,COGN3
9/14/2017,19.45,18.92,COGN3
9/15/2017,19.69,19.55,COGN3
9/18/2017,19.5,19.6,COGN3
9/19/2017,19.24,19.45,COGN3
9/20/2017,19.67,19.46,COGN3
9/21/2017,19.49,19.79,COGN3
9/22/2017,19.28,19.38,COGN3
9/25/2017,19,19.43,COGN3
9/26/2017,18.9,19.02,COGN3
9/27/2017,18.65,18.9,COGN3
9/28/2017,19.1,18.55,COGN3
9/29/2017,20.05,19.29,COGN3
10/2/2017,19.82,20.05,COGN3
10/3/2017,21.09,19.89,COGN3
10/4/2017,21.23,21.2,COGN3
10/5/2017,20.37,21.49,COGN3
10/6/2017,20.33,20.26,COGN3
10/9/2017,20.25,20.49,COGN3
10/10/2017,20.98,20.48,COGN3
10/11/2017,19.78,20.74,COGN3
10/13/2017,19.44,19.83,COGN3
10/16/2017,19.58,19.44,COGN3
10/17/2017,19.15,19.65,COGN3
10/18/2017,19.55,19.21,COGN3
10/19/2017,18.93,19.35,COGN3
10/20/2017,18.93,18.92,COGN3
10/23/2017,18.15,19.1,COGN3
10/24/2017,18.48,18.17,COGN3
10/25/2017,18.44,18.48,COGN3
10/26/2017,18.28,18.57,COGN3
10/27/2017,18.26,18.35,COGN3
10/30/2017,18.02,18.27,COGN3
10/31/2017,17.99,17.9,COGN3
11/1/2017,17.85,18.2,COGN3
11/3/2017,17.72,17.85,COGN3
11/6/2017,17.41,17.72,COGN3
11/7/2017,17.77,17.41,COGN3
11/8/2017,18.8,17.98,COGN3
11/9/2017,18.03,18.9,COGN3
11/10/2017,17.5,18.18,COGN3
11/13/2017,17.75,17.59,COGN3
11/14/2017,17.55,17.93,COGN3
11/16/2017,18.45,17.59,COGN3
11/17/2017,19.01,18.35,COGN3
11/21/2017,18.96,19.08,COGN3
11/22/2017,18.9,18.94,COGN3
11/23/2017,18.88,18.88,COGN3
11/24/2017,18.77,18.85,COGN3
11/27/2017,18.82,18.61,COGN3
11/28/2017,18.59,19,COGN3
11/29/2017,18.2,18.65,COGN3
11/30/2017,18.12,17.96,COGN3
12/1/2017,17.83,18,COGN3
12/4/2017,17.77,17.8,COGN3
12/5/2017,17.67,17.83,COGN3
12/6/2017,18.44,17.55,COGN3
12/7/2017,17.69,18.01,COGN3
12/8/2017,16.99,17.23,COGN3
12/11/2017,16.52,17.1,COGN3
12/12/2017,17.23,16.55,COGN3
12/13/2017,17.5,17.45,COGN3
12/14/2017,17.3,17.25,COGN3
12/15/2017,17.25,17.19,COGN3
12/18/2017,17.5,17.6,COGN3
12/19/2017,17.46,17.38,COGN3
12/20/2017,17.4,17.49,COGN3
12/21/2017,17.67,17.4,COGN3
12/22/2017,17.81,17.58,COGN3
12/26/2017,17.8,17.71,COGN3
12/27/2017,18.21,17.84,COGN3
12/28/2017,18.4,18.25,COGN3
1/2/2018,18.34,18.4,COGN3
1/3/2018,18.5,18.15,COGN3
1/4/2018,18.75,18.71,COGN3
1/5/2018,18.71,18.7,COGN3
1/8/2018,17.88,18.62,COGN3
1/9/2018,18.1,17.91,COGN3
1/10/2018,18.45,18.1,COGN3
1/11/2018,17.78,18.19,COGN3
1/12/2018,17.01,17.6,COGN3
1/15/2018,16.94,17.05,COGN3
1/16/2018,16.76,17.05,COGN3
1/17/2018,17.24,16.81,COGN3
1/18/2018,17.18,17.4,COGN3
1/19/2018,17,17.26,COGN3
1/22/2018,16.91,17.07,COGN3
1/23/2018,16.4,16.87,COGN3
1/24/2018,16.57,16.6,COGN3
1/26/2018,16.39,16.85,COGN3
1/29/2018,16.05,16.3,COGN3
1/30/2018,16.1,16.05,COGN3
1/31/2018,16.25,16.25,COGN3
2/1/2018,16.47,16.25,COGN3
2/2/2018,16.29,16.21,COGN3
2/5/2018,15.77,16.22,COGN3
2/6/2018,15.68,15.6,COGN3
2/7/2018,15.51,15.68,COGN3
2/8/2018,15,15.6,COGN3
2/9/2018,15.06,14.93,COGN3
2/14/2018,15.71,15.24,COGN3
2/15/2018,16.01,15.83,COGN3
2/16/2018,15.74,16.17,COGN3
2/19/2018,15.79,15.74,COGN3
2/20/2018,16.33,15.7,COGN3
2/21/2018,16.57,16.26,COGN3
2/22/2018,16.31,16.52,COGN3
2/23/2018,16.02,16.4,COGN3
2/26/2018,15.8,16.15,COGN3
2/27/2018,15.6,15.65,COGN3
2/28/2018,15.5,15.69,COGN3
3/1/2018,15.51,15.48,COGN3
3/2/2018,15.32,15.31,COGN3
3/5/2018,15.7,15.3,COGN3
3/6/2018,15.37,15.8,COGN3
3/7/2018,15.12,15.4,COGN3
3/8/2018,14.62,15.12,COGN3
3/9/2018,14.55,14.72,COGN3
3/12/2018,14.68,14.55,COGN3
3/13/2018,14.91,14.68,COGN3
3/14/2018,15.08,15.12,COGN3
3/15/2018,14.91,15.14,COGN3
3/16/2018,14.53,15.06,COGN3
3/19/2018,14.5,14.29,COGN3
3/20/2018,14.58,14.67,COGN3
3/21/2018,14.48,14.58,COGN3
3/22/2018,14.35,14.62,COGN3
3/23/2018,13.7,14.11,COGN3
3/26/2018,13.46,13.84,COGN3
3/27/2018,13.1,13.5,COGN3
3/28/2018,13.19,13.04,COGN3
3/29/2018,13.6,13.2,COGN3
4/2/2018,13.49,13.56,COGN3
4/3/2018,13.22,13.55,COGN3
4/4/2018,12.81,13.06,COGN3
4/5/2018,13.16,13.17,COGN3
4/6/2018,13.34,13.15,COGN3
4/9/2018,13.24,13.5,COGN3
4/10/2018,13.18,13.28,COGN3
4/11/2018,13.7,13.3,COGN3
4/12/2018,14.1,13.8,COGN3
4/13/2018,14.24,14.17,COGN3
4/16/2018,13.98,14.11,COGN3
4/17/2018,14.03,14.16,COGN3
4/18/2018,13.95,14.1,COGN3
4/19/2018,13.64,13.81,COGN3
4/20/2018,13.5,13.75,COGN3
4/23/2018,14.21,14.06,COGN3
4/24/2018,14.5,14.45,COGN3
4/25/2018,14.01,14.47,COGN3
4/26/2018,13.7,14.19,COGN3
4/27/2018,14.2,13.93,COGN3
4/30/2018,14.01,14.3,COGN3
5/2/2018,13.6,13.86,COGN3
5/3/2018,13.25,13.48,COGN3
5/4/2018,13.28,13.21,COGN3
5/7/2018,13.24,13.39,COGN3
5/8/2018,13.35,13.2,COGN3
5/9/2018,12.85,13.25,COGN3
5/10/2018,13.15,12.89,COGN3
5/11/2018,11.15,12.98,COGN3
5/14/2018,11.1,11.25,COGN3
5/15/2018,11.23,10.86,COGN3
5/16/2018,11.58,11.3,COGN3
5/17/2018,10.94,11.51,COGN3
5/18/2018,10.63,10.61,COGN3
5/21/2018,10.8,10.78,COGN3
5/22/2018,11.41,10.9,COGN3
5/23/2018,11.45,11.25,COGN3
5/24/2018,11.81,11.29,COGN3
5/25/2018,11.44,11.89,COGN3
5/28/2018,10.75,11.29,COGN3
5/29/2018,10.4,10.93,COGN3
5/30/2018,10.81,10.55,COGN3
6/1/2018,11.32,10.99,COGN3
6/4/2018,11.16,11.35,COGN3
6/5/2018,11.05,11.02,COGN3
6/6/2018,10.5,10.9,COGN3
6/7/2018,10.12,10.26,COGN3
6/8/2018,10.8,10.19,COGN3
6/11/2018,10.3,10.89,COGN3
6/12/2018,10.37,10.23,COGN3
6/13/2018,10.16,10.32,COGN3
6/14/2018,10.16,10.23,COGN3
6/15/2018,10.32,10.05,COGN3
6/18/2018,10.1,10.24,COGN3
6/19/2018,10.04,10.06,COGN3
6/20/2018,9.77,9.88,COGN3
6/21/2018,9.64,9.8,COGN3
6/22/2018,9.65,9.69,COGN3
6/25/2018,9.48,9.74,COGN3
6/26/2018,9.44,9.57,COGN3
6/27/2018,9.16,9.46,COGN3
6/28/2018,9.4,9.18,COGN3
6/29/2018,9.32,9.49,COGN3
7/2/2018,9.73,9.4,COGN3
7/3/2018,10.66,9.86,COGN3
7/4/2018,10.43,10.87,COGN3
7/5/2018,10.5,10.43,COGN3
7/6/2018,11.21,10.5,COGN3
7/10/2018,11.19,11.21,COGN3
7/11/2018,11.11,11.15,COGN3
7/12/2018,11.13,11.21,COGN3
7/13/2018,11.22,11.14,COGN3
7/16/2018,11.3,11.2,COGN3
7/17/2018,11.57,11.35,COGN3
7/18/2018,11.3,11.51,COGN3
7/19/2018,12,11.16,COGN3
7/20/2018,11.97,12.4,COGN3
7/23/2018,11.6,11.95,COGN3
7/24/2018,11.64,11.72,COGN3
7/25/2018,11.87,11.71,COGN3
7/26/2018,11.53,11.96,COGN3
7/27/2018,11.68,11.58,COGN3
7/30/2018,11.39,11.71,COGN3
7/31/2018,11.3,11.2,COGN3
8/1/2018,11.09,11.2,COGN3
8/2/2018,11.42,11.03,COGN3
8/3/2018,11.61,11.43,COGN3
8/6/2018,11.68,11.7,COGN3
8/7/2018,11.08,11.73,COGN3
8/8/2018,10.46,11.13,COGN3
8/9/2018,10.26,10.47,COGN3
8/10/2018,9.96,10.2,COGN3
8/13/2018,10.66,9.98,COGN3
8/14/2018,10.87,10.78,COGN3
8/15/2018,10.1,10.45,COGN3
8/16/2018,10.15,10.23,COGN3
8/17/2018,10.21,10.15,COGN3
8/20/2018,10.04,10.1,COGN3
8/21/2018,9.74,9.95,COGN3
8/22/2018,10.38,9.7,COGN3
8/23/2018,10.17,10.37,COGN3
8/24/2018,10.41,10.26,COGN3
8/27/2018,10.83,10.41,COGN3
8/28/2018,10.81,10.85,COGN3
8/29/2018,10.58,10.83,COGN3
8/30/2018,10.17,10.5,COGN3
8/31/2018,10.22,10.18,COGN3
9/3/2018,10.3,10.2,COGN3
9/4/2018,9.89,10.3,COGN3
9/5/2018,9.8,9.92,COGN3
9/6/2018,9.7,9.88,COGN3
9/10/2018,9.76,9.86,COGN3
9/11/2018,9.5,9.66,COGN3
9/12/2018,9.64,9.66,COGN3
9/13/2018,9.72,9.69,COGN3
9/14/2018,9.84,9.69,COGN3
9/17/2018,9.88,9.8,COGN3
9/18/2018,10.36,9.89,COGN3
9/19/2018,10.8,10.21,COGN3
9/20/2018,10.82,10.96,COGN3
9/21/2018,10.87,10.85,COGN3
9/24/2018,10.43,10.85,COGN3
9/25/2018,10.85,10.28,COGN3
9/26/2018,11.25,10.84,COGN3
9/27/2018,11.71,11.27,COGN3
9/28/2018,11.4,11.5,COGN3
10/1/2018,11.3,11.44,COGN3
10/2/2018,11.68,11.68,COGN3
10/3/2018,11.9,12.2,COGN3
10/4/2018,12.25,11.9,COGN3
10/5/2018,11.86,12.35,COGN3
10/8/2018,12.2,12.5,COGN3
10/9/2018,11.86,12.35,COGN3
10/10/2018,11.34,11.67,COGN3
10/11/2018,11.15,11.58,COGN3
10/15/2018,10.7,11.38,COGN3
10/16/2018,10.56,10.84,COGN3
10/17/2018,10.8,10.55,COGN3
10/18/2018,10.67,10.9,COGN3
10/19/2018,10.83,10.77,COGN3
10/22/2018,11.35,11,COGN3
10/23/2018,11.56,11.13,COGN3
10/24/2018,11.1,11.58,COGN3
10/25/2018,11.45,11.09,COGN3
10/26/2018,11.64,11.52,COGN3
10/29/2018,10.8,11.9,COGN3
10/30/2018,11.1,10.9,COGN3
10/31/2018,11.42,11.3,COGN3
11/1/2018,11.52,11.5,COGN3
11/5/2018,12.28,11.55,COGN3
11/6/2018,11.6,12,COGN3
11/7/2018,11.48,11.7,COGN3
11/8/2018,10.85,11.52,COGN3
11/9/2018,10.35,10.8,COGN3
11/12/2018,10.61,10.41,COGN3
11/13/2018,10.28,10.62,COGN3
11/14/2018,10.95,10.4,COGN3
11/16/2018,11.16,10.97,COGN3
11/19/2018,10.83,10.98,COGN3
11/21/2018,10.77,10.7,COGN3
11/22/2018,10.86,10.8,COGN3
11/23/2018,10.95,10.78,COGN3
11/26/2018,10.61,10.98,COGN3
11/27/2018,10.93,10.64,COGN3
11/28/2018,10.96,10.88,COGN3
11/29/2018,10.9,10.86,COGN3
11/30/2018,10.5,10.91,COGN3
12/3/2018,10.59,10.61,COGN3
12/4/2018,10.2,10.59,COGN3
12/5/2018,10.24,10.26,COGN3
12/6/2018,10.19,10.11,COGN3
12/7/2018,10.14,10.19,COGN3
12/10/2018,9.75,10.08,COGN3
12/11/2018,9.75,9.85,COGN3
12/12/2018,9.8,9.79,COGN3
12/13/2018,9.54,9.9,COGN3
12/14/2018,9.36,9.52,COGN3
12/17/2018,9.12,9.38,COGN3
12/18/2018,9.1,9.18,COGN3
12/19/2018,8.76,9.15,COGN3
12/20/2018,8.71,8.81,COGN3
12/21/2018,9.07,8.79,COGN3
12/26/2018,8.6,9.03,COGN3
12/27/2018,8.77,8.59,COGN3
12/28/2018,8.87,8.84,COGN3
1/2/2019,9.25,8.94,COGN3
1/3/2019,9.36,9.18,COGN3
1/4/2019,9.37,9.45,COGN3
1/7/2019,9.13,9.4,COGN3
1/8/2019,9.2,9.15,COGN3
1/9/2019,9.58,9.22,COGN3
1/10/2019,9.66,9.64,COGN3
1/11/2019,9.85,9.66,COGN3
1/14/2019,10.2,9.85,COGN3
1/15/2019,10.09,10.25,COGN3
1/16/2019,10.25,10.12,COGN3
1/17/2019,10.47,10.2,COGN3
1/18/2019,10.18,10.45,COGN3
1/21/2019,10.1,10.19,COGN3
1/22/2019,10.1,10.08,COGN3
1/23/2019,10.84,10.16,COGN3
1/24/2019,11.44,10.8,COGN3
1/28/2019,11.47,11.4,COGN3
1/29/2019,11.33,11.5,COGN3
1/30/2019,11.94,11.37,COGN3
1/31/2019,11.43,11.92,COGN3
